BookID,Chapter,TotalVerses,WordCountKjv,ReadingTimeInSecondsKjvScourby
26,45,25,882,246
26,46,24,880,242
26,47,23,780,226
26,48,35,1045,289
27,1,21,589,182
27,2,49,1500,478
27,3,30,992,327
27,4,37,1290,427
27,5,31,995,321
27,6,28,905,284
27,7,28,926,313
27,8,27,852,274
27,9,27,966,321
27,10,21,647,216
27,11,45,1529,453
27,12,13,411,132
28,1,11,355,109
28,2,23,678,204
28,3,5,156,50
28,4,19,465,165
28,5,15,368,121
28,6,11,254,88
28,7,16,398,130
28,8,14,330,114
28,9,17,468,163
28,10,15,425,147
28,11,12,308,105
28,12,14,311,105
28,13,16,426,141
28,14,9,232,86
29,1,20,508,177
29,2,32,958,321
29,3,21,567,209
30,1,15,455,137
30,2,16,441,144
30,3,15,397,130
30,4,13,432,153
30,5,27,658,223
30,6,14,399,126
30,7,17,471,153
30,8,14,414,130
30,9,15,549,168
31,1,21,669,215
32,1,17,514,148
32,2,10,214,73
32,3,10,260,82
32,4,11,332,113
33,1,16,452,150
33,2,13,400,128
33,3,12,354,112
33,4,13,476,152
33,5,15,447,141
33,6,16,440,148
33,7,20,583,209
34,1,15,394,134
34,2,13,371,123
34,3,19,519,195
35,1,17,423,153
35,2,20,563,194
35,3,19,489,173
36,1,18,555,177
36,2,15,463,169
36,3,20,598,213
37,1,15,451,139
37,2,23,679,208
38,1,21,622,201
38,2,13,317,101
38,3,10,296,99
38,4,14,365,116
38,5,11,338,103
38,6,15,424,127
38,7,14,378,119
38,8,23,703,222
38,9,17,537,175
38,10,12,408,123
38,11,17,502,156
38,12,14,462,143
38,13,9,337,108
38,14,21,754,230
39,1,14,487,161
39,2,17,546,179
39,3,18,565,188
39,4,6,183,72
40,1,25,473,202
40,2,23,619,225
40,3,17,387,155
40,4,25,557,216
40,5,48,1081,380
40,6,34,794,307
40,7,29,626,229
40,8,34,773,266
40,9,38,837,299
40,10,42,919,335
40,11,30,668,244
40,12,50,1168,431
40,13,58,1367,504
40,14,36,721,259
40,15,39,785,312
40,16,28,688,253
40,17,27,620,248
40,18,35,869,316
40,19,30,719,281
40,20,34,779,284
40,21,46,1126,414
40,22,46,828,309
40,23,39,833,361
40,24,51,1047,389
40,25,46,995,357
40,26,75,1625,610
40,27,66,1359,507
40,28,20,421,135
41,1,45,930,349
41,2,28,724,238
41,3,35,663,251
41,4,41,923,322
41,5,43,952,326
41,6,56,1323,439
41,7,37,806,297
41,8,38,842,311
41,9,50,1164,403
41,10,52,1218,447
41,11,33,778,259
41,12,44,1058,399
41,13,37,828,322
41,14,72,1595,559
41,15,47,913,333
41,16,20,449,164
42,1,80,1583,576
42,2,52,1094,389
42,3,38,1017,329
42,4,44,1021,361
42,5,39,949,333
42,6,49,1229,440
42,7,50,1209,419
42,8,56,1431,497
42,9,62,1457,502
42,10,42,992,360
42,11,54,1331,466
42,12,59,1407,506
42,13,35,864,290
42,14,35,812,261
42,15,32,725,231
42,16,31,752,259
42,17,37,809,274
42,18,43,868,309
42,19,48,1047,341
